X,Y,ID,CD_GEOCODI,NM_BAIRRO,NM_MUNICIP,SC_IVS e12,icon_url
-51.6787463737008,-23.5323522783779,"14248","411420305000052",,MANDAGUARI,0.497934074921152,
-51.691809772216,-23.5114276544271,"14249","411420305000053",,MANDAGUARI,0.298290698813664,
-51.6596239578944,-23.5201993488707,"14251","411420305000055",,MANDAGUARI,0.502698869867998,
-51.6653166850601,-23.525229230726,"14252","411420305000056",,MANDAGUARI,0.512009197318948,
-51.6595898258492,-23.5238023354862,"14253","411420305000057",,MANDAGUARI,0.246891441577218,
-51.6726927791361,-23.5080319308792,"14255","411420305000059",,MANDAGUARI,0.296783908462528,
-51.6662993640565,-23.5327781827833,"14256","411420305000060",,MANDAGUARI,0.348612960518691,
-51.6726164130227,-23.5463110851893,"14257","411420305000061",,MANDAGUARI,0.410986262625135,
-51.6812592737701,-23.5361624983456,"14258","411420305000062",,MANDAGUARI,0.260987061016198,
-51.6738957709138,-23.5459802906652,"14263","411420305000067",,MANDAGUARI,0.515926186022899,
-49.2312987195795,-25.8485393095699,"14264","411430205000011",,MANDIRITUBA,0.339227635852488,
-49.2777083633479,-25.8792898882616,"14265","411430205000012",,MANDIRITUBA,0.393504727173055,
-49.3405299262898,-25.7745072677205,"14266","411430205000013",,MANDIRITUBA,0.505864630980816,
-49.2683934591137,-25.7624975485676,"14267","411430205000014",,MANDIRITUBA,0.401109240527458,
-49.2940735093556,-25.7751888318265,"14268","411430205000015",,MANDIRITUBA,0.505685670827281,
-49.3445078915157,-25.750013754295,"14269","411430205000016",,MANDIRITUBA,0.494833422990232,
-49.3921820158257,-25.8615822381566,"14273","411430210000003",,MANDIRITUBA,0.389812849496871,
-49.3653049809992,-25.8362418338536,"14274","411430210000004",,MANDIRITUBA,0.476520085997455,
-49.3294167754964,-25.8607751754755,"14275","411430210000005",,MANDIRITUBA,0.395282780347009,
-49.3183188452722,-25.900864738554,"14276","411430210000006",,MANDIRITUBA,0.303946772396811,
-49.3357797604719,-25.9321156377823,"14277","411430210000007",,MANDIRITUBA,0.348017844580345,
-49.3769326577908,-25.9229086605793,"14278","411430210000008",,MANDIRITUBA,0.458379018692756,
-49.4219718950286,-25.9116791346107,"14279","411430210000009",,MANDIRITUBA,0.439056992098390,
-49.3415149123906,-25.8468867338557,"14280","411430210000010",,MANDIRITUBA,0.509806637613491,
-49.3504022409227,-25.8864991260761,"14281","411430210000011",,MANDIRITUBA,0.434637821652163,
-49.3876385951094,-25.8996910292863,"14282","411430210000012",,MANDIRITUBA,0.406052287459232,
-49.4117219357392,-25.8836498962689,"14283","411430210000013",,MANDIRITUBA,0.404718081166847,
-53.3128318422076,-26.1444208566524,"14284","411435105000001",,MANFRINÓPOLIS,0.505396643666926,
-53.2920333202583,-26.1220745479685,"14285","411435105000002",,MANFRINÓPOLIS,0.375818535237667,
-53.2768996809581,-26.1621201741452,"14286","411435105000003",,MANFRINÓPOLIS,0.471493481419718,
-53.3326603848129,-26.143805064362,"14287","411435105000004",,MANFRINÓPOLIS,0.353327559714667,
-53.3256155536085,-26.1001817173972,"14288","411435105000005",,MANFRINÓPOLIS,0.370065333081118,
-53.3807616077014,-26.0932777408938,"14289","411435105000006",,MANFRINÓPOLIS,0.349629958706566,
-53.39806179189,-26.0519106580208,"14290","411435105000007",,MANFRINÓPOLIS,0.301371013794103,
-53.4538953870145,-26.058658721098,"14291","411435105000008",,MANFRINÓPOLIS,0.470821249393870,
-53.3394502367472,-26.0595781838029,"14292","411435105000009",,MANFRINÓPOLIS,0.431279607673874,
-52.1723386735798,-25.9336933250622,"14296","411440105000003",,MANGUEIRINHA,0.514323747398936,
-52.2296439366559,-25.9079827105371,"14299","411440105000006",,MANGUEIRINHA,0.410333703843947,
-52.2045446982677,-25.8432776015964,"14300","411440105000007",,MANGUEIRINHA,0.325014225444975,
-52.1812640674606,-25.7922157768141,"14301","411440105000008",,MANGUEIRINHA,0.364287373546146,
-52.1855857817339,-25.8582831405259,"14302","411440105000009",,MANGUEIRINHA,0.392474048914359,
-52.1814688646576,-25.9122924660351,"14303","411440105000010",,MANGUEIRINHA,0.310300166313534,
-52.1541520323724,-25.9473538567666,"14304","411440105000011",,MANGUEIRINHA,0.425786740506868,
-52.291049297242,-25.990048641943,"14305","411440105000012",,MANGUEIRINHA,0.408607726472020,
-52.2863771090902,-25.9256689359195,"14307","411440105000014",,MANGUEIRINHA,0.410011188526715,
-52.3227694949514,-26.0364110333551,"14308","411440105000015",,MANGUEIRINHA,0.476485307399446,
-52.2311922267131,-25.8452857187484,"14309","411440105000016",,MANGUEIRINHA,0.440164809495942,
-52.1467309150224,-25.9032261935998,"14310","411440105000017",,MANGUEIRINHA,0.385737565282454,
-52.208419179733,-25.9685541797061,"14311","411440105000018",,MANGUEIRINHA,0.463550823287400,
-52.2679571843771,-26.0145988933269,"14312","411440105000019",,MANGUEIRINHA,0.414151841235592,
-52.1681737725519,-25.9319127506327,"14314","411440105000021",,MANGUEIRINHA,0.485436726271668,
-52.2200539414367,-25.9994462443611,"14322","411440110000001",,MANGUEIRINHA,0.498411785282876,
-52.2335895294379,-26.0559888221811,"14323","411440110000002",,MANGUEIRINHA,0.514633859195807,
-52.1322146555605,-25.9963864212182,"14324","411440110000003",,MANGUEIRINHA,0.448069572424844,
-52.1413040301246,-26.138157092173,"14325","411440110000004",,MANGUEIRINHA,0.490356178315867,
-51.6712363759429,-24.517089781617,"14331","411450005000003",,MANOEL RIBAS,0.501724359365132,
-51.6712130516579,-24.512694513321,"14332","411450005000004",,MANOEL RIBAS,0.463743337279932,
-51.6652847128622,-24.511701617701,"14333","411450005000005",,MANOEL RIBAS,0.428641904879776,
-51.6595433168825,-24.5181627017472,"14334","411450005000006",,MANOEL RIBAS,0.490706776295321,
-51.6675078885553,-24.5256782429992,"14335","411450005000007",,MANOEL RIBAS,0.445120935654170,
-51.6861170339997,-24.5260635688043,"14336","411450005000008",,MANOEL RIBAS,0.337272240284073,
-51.7067933400754,-24.4896896042726,"14337","411450005000009",,MANOEL RIBAS,0.453807127348797,
-51.7039396736379,-24.4233089322806,"14338","411450005000010",,MANOEL RIBAS,0.415242377425964,
-51.6685014960437,-24.4293423523908,"14340","411450005000012",,MANOEL RIBAS,0.297254513474898,
-51.6222304593498,-24.4155373672749,"14341","411450005000013",,MANOEL RIBAS,0.370795926710503,
-51.628688001136,-24.4219314371168,"14342","411450005000014",,MANOEL RIBAS,0.305593334812684,
-51.6483328526885,-24.468834838074,"14343","411450005000015",,MANOEL RIBAS,0.499978697874122,
-51.632019421278,-24.4913708514424,"14344","411450005000016",,MANOEL RIBAS,0.407381421649758,
-51.569884717253,-24.478489875593,"14345","411450005000017",,MANOEL RIBAS,0.431220317406595,
-51.5043699859564,-24.4757523166468,"14346","411450005000018",,MANOEL RIBAS,0.412695197765280,
-51.5320164981292,-24.5356168344832,"14347","411450005000019",,MANOEL RIBAS,0.441225039667983,
-51.6318280978319,-24.5410951764091,"14349","411450005000021",,MANOEL RIBAS,0.375928272768629,
